Type of message: snd 	Time: 1556083622.81	Seq number: 673	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083623.81	Seq number: 673	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083623.81	Seq number: 0	Data size: 300	ACK num: 973
Type of message: Drop 	Time: 1556083623.81	Seq number: 973	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083624.81	Seq number: 973	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083624.82	Seq number: 0	Data size: 300	ACK num: 1273
Type of message: Drop 	Time: 1556083624.82	Seq number: 1273	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083625.82	Seq number: 1273	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083625.82	Seq number: 0	Data size: 300	ACK num: 1573
Type of message: snd 	Time: 1556083625.82	Seq number: 1573	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083625.82	Seq number: 0	Data size: 300	ACK num: 1873
Type of message: Drop 	Time: 1556083625.82	Seq number: 1873	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083626.82	Seq number: 1873	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083626.82	Seq number: 0	Data size: 300	ACK num: 2173
Type of message: snd 	Time: 1556083626.82	Seq number: 2173	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083626.82	Seq number: 0	Data size: 300	ACK num: 2473
Type of message: snd 	Time: 1556083626.82	Seq number: 2473	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083626.82	Seq number: 0	Data size: 300	ACK num: 2773
Type of message: snd 	Time: 1556083626.82	Seq number: 2773	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083626.82	Seq number: 0	Data size: 300	ACK num: 3073
Type of message: snd 	Time: 1556083626.82	Seq number: 3073	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083626.82	Seq number: 0	Data size: 300	ACK num: 3373
Type of message: snd 	Time: 1556083626.82	Seq number: 3373	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083626.82	Seq number: 0	Data size: 300	ACK num: 3673
Type of message: Drop 	Time: 1556083626.82	Seq number: 3673	Data size: 28	ACK num: 0
Type of message: RTX 	Time: 1556083627.82	Seq number: 3673	Data size: 28	ACK num: 0
Type of message: Recv 	Time: 1556083627.82	Seq number: 0	Data size: 28	ACK num: 3701
